,OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,SalesTeamID,CustomerID,StoreID,ProductID,Order Quantity,Discount Applied,Unit Cost,Unit Price,Revenue,Profit,Procured_to_Order,Order_to_Ship,Ship_to_Delivery,Procured_to_Delivery
35,SO - 000136,Distributor,WARE-NBV1002,2017-12-31,2018-06-03,2018-06-07,2018-06-13,22,28,84,38,2,0.08,1093.44,2278.0,4191.52,2004.64,154,4,6,164
36,SO - 000137,In-Store,WARE-UHY1004,2017-12-31,2018-06-03,2018-06-14,2018-06-21,7,46,256,1,1,0.08,120.2,261.3,240.39600000000002,120.2,154,11,7,172
37,SO - 000138,Online,WARE-MKL1006,2017-12-31,2018-06-03,2018-06-28,2018-07-08,12,22,360,17,8,0.05,698.81,998.3,7587.079999999999,1996.6,154,25,10,189
38,SO - 000139,In-Store,WARE-NMK1003,2017-12-31,2018-06-03,2018-06-13,2018-06-21,4,34,90,40,6,0.2,1958.54,3497.4,16787.52,5036.28,154,10,8,172
39,SO - 000140,In-Store,WARE-NMK1003,2017-12-31,2018-06-03,2018-06-18,2018-06-28,9,26,196,25,4,0.05,486.89,1132.3,4302.74,2355.18,154,15,10,179
40,SO - 000141,In-Store,WARE-XYS1001,2017-12-31,2018-06-03,2018-06-15,2018-06-17,7,26,40,2,7,0.05,1587.5,2405.3,15995.244999999999,4882.74,154,12,2,168
41,SO - 000142,Distributor,WARE-MKL1006,2017-12-31,2018-06-03,2018-06-24,2018-07-03,24,24,367,3,8,0.05,3249.97,5701.7,43332.92,17333.16,154,21,9,184
42,SO - 000143,Distributor,WARE-UHY1004,2017-12-31,2018-06-04,2018-06-09,2018-06-16,25,18,249,34,1,0.2,1446.8,2452.2,1961.76,514.96,155,5,7,167
43,SO - 000144,In-Store,WARE-XYS1001,2017-12-31,2018-06-04,2018-06-30,2018-07-04,11,21,6,11,3,0.05,2012.01,3095.4,8821.89,2785.86,155,26,4,185
44,SO - 000145,Online,WARE-UHY1004,2017-12-31,2018-06-04,2018-06-12,2018-06-14,15,14,212,8,4,0.4,2164.9,3865.9,9278.16,618.56,155,8,2,165
45,SO - 000146,Distributor,WARE-XYS1001,2017-12-31,2018-06-04,2018-06-10,2018-06-15,23,3,37,11,8,0.1,1382.88,2304.8,16594.56,5531.52,155,6,5,166
46,SO - 000147,Online,WARE-XYS1001,2017-12-31,2018-06-04,2018-06-21,2018-06-24,17,13,38,35,3,0.05,1470.11,3195.9,9108.315,4697.99,155,17,3,175
47,SO - 000148,Online,WARE-PUJ1005,2017-12-31,2018-06-04,2018-06-19,2018-06-26,18,49,294,33,7,0.05,5161.68,6452.1,42906.465,6774.7,155,15,7,177
48,SO - 000149,Distributor,WARE-NMK1003,2017-12-31,2018-06-05,2018-06-14,2018-06-17,24,4,105,16,3,0.3,921.52,2003.3,4206.93,1442.37,156,9,3,168
49,SO - 000150,Distributor,WARE-XYS1001,2018-04-10,2018-06-05,2018-06-28,2018-07-07,23,20,17,8,8,0.05,1455.24,3638.1,27649.559999999998,16007.64,56,23,9,88
50,SO - 000151,In-Store,WARE-NMK1003,2018-04-10,2018-06-05,2018-06-14,2018-06-17,4,19,109,44,3,0.08,1822.4,2278.0,6287.280000000001,820.08,56,9,3,68
51,SO - 000152,Online,WARE-NMK1003,2018-04-10,2018-06-05,2018-06-25,2018-06-29,16,25,141,22,6,0.3,582.5,924.6,3883.32,388.32,56,20,4,80
52,SO - 000153,Online,WARE-NMK1003,2018-04-10,2018-06-05,2018-06-21,2018-07-01,19,8,111,16,5,0.05,3062.44,3926.2,18649.45,3337.25,56,16,10,82
53,SO - 000154,Distributor,WARE-MKL1006,2017-12-31,2018-06-05,2018-06-12,2018-06-18,23,24,349,25,4,0.08,2257.16,3825.7,14078.576,5049.94,156,7,6,169
54,SO - 000155,Wholesale,WARE-MKL1006,2017-12-31,2018-06-05,2018-07-03,2018-07-08,27,13,360,4,3,0.05,1377.32,2257.9,6435.015,2303.06,156,28,5,189
55,SO - 000156,Distributor,WARE-NMK1003,2017-12-31,2018-06-06,2018-07-02,2018-07-08,24,32,148,33,8,0.08,756.3,1112.2,8185.792,2135.39,157,26,6,189
56,SO - 000157,Online,WARE-NMK1003,2017-12-31,2018-06-06,2018-06-22,2018-06-23,19,28,103,45,8,0.05,1814.43,3557.7,27038.519999999997,12523.08,157,16,1,174
57,SO - 000158,Online,WARE-NBV1002,2017-12-31,2018-06-06,2018-06-09,2018-06-12,13,8,59,45,3,0.4,1233.34,2371.8,4269.240000000001,569.22,157,3,3,163
58,SO - 000159,Online,WARE-NBV1002,2017-12-31,2018-06-06,2018-07-01,2018-07-04,14,47,60,1,1,0.4,686.08,857.6,514.56,-171.52,157,25,3,185
59,SO - 000160,In-Store,WARE-UHY1004,2017-12-31,2018-06-07,2018-06-14,2018-06-16,11,33,238,20,5,0.3,2880.6,3892.7,13624.449999999999,-778.55,158,7,2,167
60,SO - 000161,In-Store,WARE-NMK1003,2017-12-31,2018-06-07,2018-06-13,2018-06-15,3,26,151,21,6,0.08,1390.92,3477.3,19194.696000000004,10849.18,158,6,2,166
61,SO - 000162,Online,WARE-NMK1003,2017-12-31,2018-06-07,2018-06-11,2018-06-21,13,20,152,44,5,0.1,2803.95,3738.6,16823.699999999997,2803.95,158,4,10,172
62,SO - 000163,Online,WARE-PUJ1005,2018-04-10,2018-06-07,2018-06-10,2018-06-13,20,6,262,8,5,0.3,589.6,1072.0,3752.0,804.0,58,3,3,64
63,SO - 000164,In-Store,WARE-NMK1003,2018-04-10,2018-06-07,2018-07-01,2018-07-02,5,40,120,46,7,0.05,1761.16,2257.9,15015.035,2686.91,58,24,1,83
64,SO - 000165,Online,WARE-UHY1004,2018-04-10,2018-06-07,2018-06-11,2018-06-13,18,23,233,46,3,0.1,751.61,1058.6,2858.22,603.39,58,4,2,64
65,SO - 000166,Online,WARE-NBV1002,2018-04-10,2018-06-07,2018-06-15,2018-06-25,13,38,77,39,4,0.1,1296.05,2492.4,8972.640000000001,3788.44,58,8,10,76
66,SO - 000167,In-Store,WARE-NBV1002,2018-04-10,2018-06-07,2018-06-13,2018-06-21,4,30,69,11,5,0.05,2465.6,3852.5,18299.375,5971.38,58,6,8,72
67,SO - 000168,Distributor,WARE-UHY1004,2017-12-31,2018-06-08,2018-06-19,2018-06-25,23,42,215,37,8,0.05,132.66,241.2,1833.12,771.84,159,11,6,176
68,SO - 000169,In-Store,WARE-XYS1001,2017-12-31,2018-06-08,2018-06-11,2018-06-17,9,1,30,35,2,0.15,494.39,1051.9,1788.23,799.45,159,3,6,168
69,SO - 000170,Distributor,WARE-NMK1003,2017-12-31,2018-06-08,2018-06-14,2018-06-19,25,11,169,10,5,0.3,107.07,227.8,797.3000000000001,261.95,159,6,5,170
70,SO - 000171,Distributor,WARE-MKL1006,2018-04-10,2018-06-08,2018-06-14,2018-06-15,24,4,333,14,5,0.05,506.99,1078.7,5123.825000000001,2588.88,59,6,1,66
71,SO - 000172,Wholesale,WARE-NMK1003,2018-04-10,2018-06-08,2018-06-13,2018-06-20,28,6,96,10,8,0.15,743.7,1005.0,6834.0,884.4,59,5,7,71
72,SO - 000173,Distributor,WARE-PUJ1005,2018-04-10,2018-06-08,2018-07-03,2018-07-09,24,17,289,45,5,0.05,1317.42,2485.7,11807.074999999997,5219.97,59,25,6,90
73,SO - 000174,In-Store,WARE-NMK1003,2018-04-10,2018-06-08,2018-06-30,2018-07-06,3,7,140,22,3,0.05,2154.52,2659.9,7580.714999999999,1117.15,59,22,6,87
74,SO - 000175,In-Store,WARE-NMK1003,2018-04-10,2018-06-09,2018-06-28,2018-07-03,1,1,107,1,1,0.08,1579.32,2224.4,2046.448,467.13,60,19,5,84
75,SO - 000176,In-Store,WARE-MKL1006,2018-04-10,2018-06-09,2018-06-12,2018-06-16,11,27,338,35,7,0.2,1260.87,2472.3,13844.880000000001,5018.79,60,3,4,67
76,SO - 000177,In-Store,WARE-UHY1004,2018-04-10,2018-06-09,2018-06-23,2018-06-24,5,33,232,15,5,0.05,799.24,1011.7,4805.575,809.38,60,14,1,75
77,SO - 000178,Wholesale,WARE-UHY1004,2018-04-10,2018-06-09,2018-07-05,2018-07-13,26,28,231,28,6,0.2,128.98,234.5,1125.6000000000001,351.72,60,26,8,94
78,SO - 000179,Online,WARE-NMK1003,2018-04-10,2018-06-09,2018-06-14,2018-06-17,13,42,158,11,4,0.08,143.72,261.3,961.5840000000001,386.7,60,5,3,68
79,SO - 000180,Online,WARE-XYS1001,2017-12-31,2018-06-09,2018-06-27,2018-07-01,18,5,36,29,7,0.1,2844.69,4006.6,25241.58,5328.75,160,18,4,182
80,SO - 000181,In-Store,WARE-UHY1004,2018-04-10,2018-06-09,2018-07-05,2018-07-13,3,10,206,28,7,0.05,866.65,1333.3,8866.445,2799.89,60,26,8,94
81,SO - 000182,In-Store,WARE-UHY1004,2018-04-10,2018-06-10,2018-07-07,2018-07-09,10,34,255,15,5,0.05,90.45,167.5,795.625,343.38,61,27,2,90
82,SO - 000183,Online,WARE-MKL1006,2018-04-10,2018-06-10,2018-06-28,2018-07-02,14,23,336,27,7,0.08,1821.66,3195.9,20581.596,7829.98,61,18,4,83
83,SO - 000184,Online,WARE-PUJ1005,2018-04-10,2018-06-10,2018-06-30,2018-07-05,20,18,307,15,1,0.05,809.96,1051.9,999.3050000000001,189.35,61,20,5,86
84,SO - 000185,Online,WARE-XYS1001,2017-12-31,2018-06-10,2018-06-30,2018-07-03,15,8,9,28,4,0.1,3540.62,5447.1,19609.56,5447.08,161,20,3,184
85,SO - 000186,Online,WARE-NMK1003,2018-04-10,2018-06-10,2018-06-16,2018-06-24,13,36,200,18,2,0.08,1973.15,3182.5,5855.8,1909.5,61,6,8,75
86,SO - 000187,In-Store,WARE-MKL1006,2017-12-31,2018-06-11,2018-06-29,2018-07-01,6,47,337,30,3,0.1,632.68,891.1,2405.9700000000003,507.93,162,18,2,182
87,SO - 000188,Online,WARE-NMK1003,2017-12-31,2018-06-11,2018-06-16,2018-06-19,15,27,158,31,2,0.2,2724.89,3892.7,6228.32,778.54,162,5,3,170
88,SO - 000189,Online,WARE-UHY1004,2017-12-31,2018-06-11,2018-06-13,2018-06-16,13,5,249,8,2,0.4,3360.05,3953.0,4743.599999999999,-1976.5,162,2,3,167
89,SO - 000190,Online,WARE-NMK1003,2017-12-31,2018-06-11,2018-06-28,2018-07-07,20,38,185,5,2,0.3,545.51,924.6,1294.44,203.42,162,17,9,188
90,SO - 000191,Online,WARE-NMK1003,2018-04-10,2018-06-11,2018-07-07,2018-07-08,20,21,189,10,7,0.3,1989.63,3430.4,16808.96,2881.55,62,26,1,89
91,SO - 000192,Distributor,WARE-NMK1003,2018-04-10,2018-06-11,2018-06-28,2018-07-06,22,24,170,43,7,0.08,622.3,1152.4,7421.456,3065.36,62,17,8,87
92,SO - 000193,Distributor,WARE-NMK1003,2018-04-10,2018-06-11,2018-06-21,2018-06-24,21,25,130,37,4,0.1,922.59,1085.4,3907.4400000000005,217.08,62,10,3,75
93,SO - 000194,In-Store,WARE-NMK1003,2017-12-31,2018-06-12,2018-06-16,2018-06-22,5,11,149,15,5,0.1,4025.36,5031.7,22642.649999999998,2515.85,163,4,6,173
94,SO - 000195,Distributor,WARE-NMK1003,2018-04-10,2018-06-12,2018-06-28,2018-07-03,24,17,99,33,7,0.15,436.84,1092.1,6497.994999999999,3440.11,63,16,5,84
95,SO - 000196,Wholesale,WARE-XYS1001,2017-12-31,2018-06-12,2018-06-25,2018-06-27,27,5,21,17,7,0.05,144.45,187.6,1247.54,236.39,163,13,2,178
96,SO - 000197,Online,WARE-NMK1003,2017-12-31,2018-06-12,2018-07-09,2018-07-16,18,30,90,1,4,0.05,2835.17,3993.2,15174.159999999998,3833.48,163,27,7,197
97,SO - 000198,Online,WARE-MKL1006,2017-12-31,2018-06-12,2018-06-15,2018-06-18,14,9,360,15,5,0.05,1433.93,2472.3,11743.425,4573.77,163,3,3,169
98,SO - 000199,In-Store,WARE-XYS1001,2018-04-10,2018-06-12,2018-07-05,2018-07-14,4,47,23,47,4,0.05,844.2,1206.0,4582.8,1206.0,63,23,9,95
99,SO - 000200,Online,WARE-NMK1003,2017-12-31,2018-06-12,2018-06-22,2018-06-29,20,5,144,40,5,0.05,985.3,1728.6,8210.849999999999,3284.35,163,10,7,180
100,SO - 000201,Wholesale,WARE-NMK1003,2017-12-31,2018-06-12,2018-06-20,2018-06-29,28,23,134,23,7,0.08,1447.74,1983.2,12771.808,2637.63,163,8,9,180
101,SO - 000202,Online,WARE-NMK1003,2018-04-10,2018-06-12,2018-07-10,2018-07-14,20,14,180,11,2,0.2,2656.55,5313.1,8500.960000000001,3187.86,63,28,4,95
102,SO - 000203,Distributor,WARE-XYS1001,2018-04-10,2018-06-12,2018-06-17,2018-06-25,20,44,58,23,5,0.08,566.15,871.0,4006.6000000000004,1175.85,63,5,8,76
103,SO - 000204,Online,WARE-NMK1003,2017-12-31,2018-06-13,2018-06-27,2018-07-01,12,38,175,43,2,0.1,2051.41,2532.6,4558.68,455.86,164,14,4,182
104,SO - 000205,Online,WARE-NMK1003,2018-04-10,2018-06-13,2018-06-25,2018-06-26,14,14,95,1,4,0.08,4673.72,5916.1,21771.248000000003,3076.37,64,12,1,77
105,SO - 000206,Online,WARE-UHY1004,2017-12-31,2018-06-13,2018-06-23,2018-07-01,13,34,231,31,1,0.08,1443.85,2887.7,2656.6839999999997,1212.83,164,10,8,182
106,SO - 000207,In-Store,WARE-NMK1003,2017-12-31,2018-06-13,2018-06-20,2018-06-22,1,13,199,11,7,0.1,1447.6,1855.9,11692.170000000002,1558.97,164,7,2,173
107,SO - 000208,In-Store,WARE-XYS1001,2018-04-10,2018-06-13,2018-06-17,2018-06-19,2,5,58,39,5,0.1,135.01,207.7,934.6500000000001,259.6,64,4,2,70
108,SO - 000209,In-Store,WARE-MKL1006,2017-12-31,2018-06-13,2018-06-29,2018-07-06,2,2,345,3,3,0.05,772.78,1058.6,3017.0099999999993,698.67,164,16,7,187
109,SO - 000210,Online,WARE-UHY1004,2018-04-10,2018-06-13,2018-07-03,2018-07-13,13,17,241,20,7,0.1,517.37,958.1,6036.030000000001,2414.44,64,20,10,94
110,SO - 000211,In-Store,WARE-NMK1003,2018-04-10,2018-06-13,2018-07-08,2018-07-18,6,40,186,27,7,0.2,1675.74,2659.9,14895.44,3165.26,64,25,10,99
111,SO - 000212,In-Store,WARE-NMK1003,2017-12-31,2018-06-13,2018-07-05,2018-07-13,7,15,144,8,3,0.1,1707.63,2217.7,5987.789999999999,864.9,164,22,8,194
112,SO - 000213,Online,WARE-XYS1001,2017-12-31,2018-06-14,2018-06-17,2018-06-20,20,12,40,11,1,0.3,857.6,1715.2,1200.6399999999999,343.04,165,3,3,171
113,SO - 000214,In-Store,WARE-PUJ1005,2018-04-10,2018-06-14,2018-07-06,2018-07-09,6,25,288,32,7,0.15,1691.15,3932.9,23400.755,11562.7,65,22,3,90
114,SO - 000215,In-Store,WARE-NMK1003,2017-12-31,2018-06-14,2018-06-19,2018-06-20,2,13,169,40,2,0.05,1909.5,2546.0,4837.4,1018.4,165,5,1,171
115,SO - 000216,Online,WARE-PUJ1005,2017-12-31,2018-06-14,2018-06-26,2018-07-01,15,18,277,21,1,0.08,603.0,837.5,770.5,167.5,165,12,5,182
116,SO - 000217,Online,WARE-UHY1004,2018-04-10,2018-06-14,2018-06-26,2018-07-05,16,3,219,12,3,0.15,1302.48,1809.0,4612.95,705.51,65,12,9,86
117,SO - 000218,Wholesale,WARE-PUJ1005,2018-04-10,2018-06-14,2018-06-29,2018-07-03,26,25,306,11,8,0.08,514.56,857.6,6311.936000000001,2195.46,65,15,4,84
118,SO - 000219,In-Store,WARE-XYS1001,2017-12-31,2018-06-14,2018-06-30,2018-07-07,8,11,7,22,6,0.05,1101.68,1748.7,9967.59,3357.51,165,16,7,188
119,SO - 000220,Wholesale,WARE-NBV1002,2017-12-31,2018-06-14,2018-06-16,2018-06-17,28,44,78,4,1,0.08,582.5,1266.3,1164.996,582.5,165,2,1,168
120,SO - 000221,In-Store,WARE-XYS1001,2017-12-31,2018-06-14,2018-06-16,2018-06-22,3,30,28,9,5,0.1,3591.54,5058.5,22763.250000000004,4805.55,165,2,6,173
121,SO - 000222,Distributor,WARE-XYS1001,2018-04-10,2018-06-14,2018-06-28,2018-07-06,22,38,39,6,7,0.05,795.22,958.1,6371.365,804.82,65,14,8,87
122,SO - 000223,Online,WARE-NMK1003,2017-12-31,2018-06-14,2018-07-10,2018-07-14,19,47,122,2,8,0.15,756.97,1802.3,12255.64,6199.88,165,26,4,195
123,SO - 000224,In-Store,WARE-XYS1001,2018-04-10,2018-06-15,2018-07-07,2018-07-16,4,17,48,32,4,0.08,4534.56,6298.0,23176.64,5038.4,66,22,9,97
124,SO - 000225,Online,WARE-XYS1001,2017-12-31,2018-06-15,2018-07-02,2018-07-06,18,28,1,30,1,0.1,1824.34,2499.1,2249.19,424.85,166,17,4,187
125,SO - 000226,In-Store,WARE-NMK1003,2018-04-10,2018-06-15,2018-06-19,2018-06-23,8,5,198,23,3,0.1,705.51,871.0,2351.7,235.17,66,4,4,74
126,SO - 000227,In-Store,WARE-UHY1004,2017-12-31,2018-06-15,2018-07-12,2018-07-18,1,32,242,5,1,0.05,360.19,750.4,712.88,352.69,166,27,6,199
127,SO - 000228,Wholesale,WARE-NMK1003,2018-04-10,2018-06-15,2018-06-23,2018-06-27,27,21,200,14,8,0.08,504.11,763.8,5621.568,1588.69,66,8,4,78
128,SO - 000229,In-Store,WARE-PUJ1005,2017-12-31,2018-06-15,2018-06-26,2018-07-02,5,49,304,25,6,0.1,565.61,844.2,4558.68,1165.02,166,11,6,183
129,SO - 000230,In-Store,WARE-XYS1001,2018-04-10,2018-06-15,2018-07-05,2018-07-14,2,6,31,27,7,0.05,112.36,261.3,1737.645,951.12,66,20,9,95
130,SO - 000231,Online,WARE-NBV1002,2017-12-31,2018-06-15,2018-07-06,2018-07-16,19,47,71,33,2,0.05,2359.94,3999.9,7599.8099999999995,2879.93,166,21,10,197
131,SO - 000232,In-Store,WARE-UHY1004,2017-12-31,2018-06-15,2018-06-25,2018-07-03,4,32,250,18,6,0.05,811.91,1112.2,6339.539999999999,1468.08,166,10,8,184
132,SO - 000233,In-Store,WARE-NMK1003,2018-04-10,2018-06-15,2018-06-26,2018-07-04,10,18,167,2,2,0.08,1843.17,2633.1,4844.904,1158.56,66,11,8,85
133,SO - 000234,Distributor,WARE-NMK1003,2017-12-31,2018-06-15,2018-07-09,2018-07-13,22,8,132,4,6,0.2,631.41,1018.4,4888.32,1099.86,166,24,4,194
134,SO - 000235,In-Store,WARE-XYS1001,2018-04-10,2018-06-15,2018-06-27,2018-06-30,1,24,56,21,4,0.15,3444.74,5219.3,17745.62,3966.66,66,12,3,81
135,SO - 000236,Distributor,WARE-UHY1004,2018-04-10,2018-06-15,2018-07-13,2018-07-20,21,11,259,26,1,0.15,2359.94,3999.9,3399.915,1039.97,66,28,7,101
136,SO - 000237,Online,WARE-MKL1006,2018-04-10,2018-06-16,2018-06-27,2018-07-01,20,50,341,25,5,0.4,1084.8,1721.9,5165.700000000001,-258.3,67,11,4,82
137,SO - 000238,In-Store,WARE-NMK1003,2017-12-31,2018-06-16,2018-07-05,2018-07-12,10,7,195,37,6,0.15,456.94,737.0,3758.7,1017.06,167,19,7,193
138,SO - 000239,Online,WARE-XYS1001,2018-04-10,2018-06-16,2018-07-07,2018-07-15,19,2,33,40,3,0.05,695.06,1219.4,3475.29,1390.11,67,21,8,96
139,SO - 000240,In-Store,WARE-PUJ1005,2017-12-31,2018-06-16,2018-07-12,2018-07-17,2,18,279,41,8,0.05,712.88,891.1,6772.36,1069.32,167,26,5,198
140,SO - 000241,In-Store,WARE-NMK1003,2018-04-10,2018-06-16,2018-07-14,2018-07-18,7,28,148,9,1,0.15,743.43,978.2,831.47,88.04,67,28,4,99
141,SO - 000242,In-Store,WARE-NMK1003,2018-04-10,2018-06-16,2018-07-01,2018-07-10,11,47,170,17,1,0.15,1657.45,3946.3,3354.355,1696.9,67,15,9,91
142,SO - 000243,In-Store,WARE-NMK1003,2018-04-10,2018-06-16,2018-07-05,2018-07-06,3,27,181,38,2,0.4,922.86,1299.8,1559.76,-285.96,67,19,1,87
143,SO - 000244,Online,WARE-NBV1002,2018-04-10,2018-06-17,2018-07-14,2018-07-24,19,21,77,12,4,0.05,2791.49,5815.6,22099.28,10933.32,68,27,10,105
144,SO - 000245,In-Store,WARE-NMK1003,2018-04-10,2018-06-17,2018-07-08,2018-07-10,3,43,122,23,6,0.15,655.26,1092.1,5569.709999999999,1638.15,68,21,2,91
145,SO - 000246,Distributor,WARE-XYS1001,2018-04-10,2018-06-17,2018-07-10,2018-07-17,24,42,36,18,6,0.15,643.2,1072.0,5467.2,1608.0,68,23,7,98
